measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,347,Leishmaniasis,1,Number,2017,1188230.3011990811,1702987.9072729181,843175.4811648336
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,348,Visceral leishmaniasis,1,Number,2017,444864.46975466254,792072.3580416174,198304.42599972503
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,349,Cutaneous and mucocutaneous leishmaniasis,1,Number,2017,743365.8314444184,1111704.751229119,478324.64448865503
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,350,African trypanosomiasis,1,Number,2017,103959.72264613492,193791.070388888,47953.05170626115
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,351,Schistosomiasis,1,Number,2017,2136236.339559999,3481089.070748683,1375039.1326115017
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,352,Cysticercosis,1,Number,2017,1159795.066705881,1642758.992104991,769645.5065469786
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,353,Cystic echinococcosis,1,Number,2017,107368.77451102431,136219.4856999338,82468.25265138317
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,354,Lymphatic filariasis,1,Number,2017,1555687.0841834217,2468457.8319414966,907733.736727682
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,355,Onchocerciasis,1,Number,2017,945582.9038514948,1391953.2095712733,531906.5662668321
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,356,Trachoma,1,Number,2017,155920.93975039994,241804.93785225312,99256.90726966558
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,357,Dengue,1,Number,2017,2908878.4826029628,4756650.250970947,1746028.167324478
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,358,Yellow fever,1,Number,2017,424404.6450245451,846994.5755251583,157849.7653410258
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,359,Rabies,1,Number,2017,1117669.94094072,1890446.2982994465,510347.3141103779
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,360,Intestinal nematode infections,1,Number,2017,1993405.1625219495,2928209.608963593,1391554.1684339792
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,361,Ascariasis,1,Number,2017,990616.5590035935,1352522.095812212,758406.3985594773
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,362,Trichuriasis,1,Number,2017,309756.5407186402,530246.401517193,168466.27908863337
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,363,Hookworm disease,1,Number,2017,693032.0627997156,1084728.717930705,431831.9756707094
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,369,Maternal hypertensive disorders,1,Number,2020,3323557.227703129,4088868.1397566684,2572198.6572939246
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,370,Maternal obstructed labor and uterine rupture,1,Number,2020,1207091.4815461873,1649513.8193520745,845328.4419044437
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,374,Ectopic pregnancy,1,Number,2020,759475.8344882125,1053797.8114328366,507169.7501691465
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,375,Indirect maternal deaths,1,Number,2020,1353944.7680173898,1865887.4809900622,923417.9567123975
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,376,Late maternal deaths,1,Number,2020,491026.0873419264,590795.2750044025,409408.8495833579
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,380,Neonatal disorders,1,Number,2020,181579113.22925147,192191833.21741048,171504234.56938928
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,381,Neonatal preterm birth,1,Number,2020,76464355.74404868,87034437.0792997,64974104.94347719
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,382,Neonatal encephalopathy due to birth asphyxia and trauma,1,Number,2020,58549173.99615786,68578532.57849267,49557077.02690743
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,383,Neonatal sepsis and other neonatal infections,1,Number,2020,23381582.131431047,31810838.824430585,17104120.83644042
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,384,Hemolytic disease and other neonatal jaundice,1,Number,2020,5194276.201726598,6952076.070790162,3660997.063294453
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,385,Other neonatal disorders,1,Number,2020,17989725.155887112,24554513.24559436,12346470.959036961
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,2020,60373066.38963888,86802723.30639678,44187148.13172608
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,387,Protein-energy malnutrition,1,Number,2020,14967368.800911384,18549775.372835964,11819622.881675672
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,388,Iodine deficiency,1,Number,2020,2202431.5211256505,3920652.257817613,1144534.4341966377
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,389,Vitamin A deficiency,1,Number,2020,1200661.959606197,1799187.1737008635,742594.7807747714
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,390,Dietary iron deficiency,1,Number,2020,40191260.27015749,63969880.269964345,25717764.542958714
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,391,Other nutritional deficiencies,1,Number,2020,1811343.837838188,2328643.0976863937,1418579.0014838644
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,393,Sexually transmitted infections excluding HIV,1,Number,2020,7232288.693628783,12425603.392865658,3652388.7820372344
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,394,Syphilis,1,Number,2020,6084635.044980998,11392562.090903852,2471673.6375716706
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,364,Food-borne trematodiases,1,Number,2017,1217858.6123424454,2184961.038094365,648544.4760927024
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,365,Other neglected tropical diseases,1,Number,2017,5175811.183360698,7585962.874619166,3452931.6721828394
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,366,Maternal disorders,1,Number,2017,17453645.38727727,19515718.815751765,15515567.050469324
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,367,Maternal hemorrhage,1,Number,2017,4217081.791161798,5435027.067694904,3070992.6374249947
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,368,Maternal sepsis and other maternal infections,1,Number,2017,1977189.851106547,2629464.8128470313,1385804.2143486422
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,2017,411048172.0647343,434048583.6877311,386728096.21999013
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,492,Rheumatic heart disease,1,Number,2017,14507615.590378724,18904096.89542932,10613226.389534986
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,493,Ischemic heart disease,1,Number,2017,179644346.77054766,192762422.98315132,166334235.1255423
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,494,Stroke,1,Number,2017,152798947.04697433,164158947.33647737,141729371.4866981
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,495,Ischemic stroke,1,Number,2017,65872125.64702941,73873839.90929061,58128608.177700184
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,496,Intracerebral hemorrhage,1,Number,2017,76526309.36206049,85086508.57519072,68366991.90140161
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,497,Subarachnoid hemorrhage,1,Number,2017,10400512.037884366,12554844.363715729,8728484.80525656
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,498,Hypertensive heart disease,1,Number,2017,24570012.91667973,29413027.065221973,19524891.698004127
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,499,Cardiomyopathy and myocarditis,1,Number,2017,11572026.935534103,13603952.66765849,9746796.019376637
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,500,Atrial fibrillation and flutter,1,Number,2017,7676742.228848323,9546116.72147525,6327729.435072802
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,501,Aortic aneurysm,1,Number,2017,2935744.367409085,3305176.1184403473,2668724.3339311546
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,502,Lower extremity peripheral arterial disease,1,Number,2017,1618310.4383647612,2140773.5815644814,1283072.4993340415
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,503,Endocarditis,1,Number,2017,2060464.5893336763,2531398.456327109,1710654.7862099227
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,504,Non-rheumatic valvular heart disease,1,Number,2017,3080395.442035763,3519763.6212906702,2681743.8435747717
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,395,Chlamydial infection,1,Number,2020,180881.8252115707,253942.78533751226,122988.07984966657
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,396,Gonococcal infection,1,Number,2020,74872.2318275609,107989.7010868587,52620.885705308
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,397,Trichomoniasis,1,Number,2020,233327.22654494466,477321.2915790361,88732.42010587994
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,515,Asthma,1,Number,2020,23654916.372598607,30524181.146230265,17810094.60351479
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,2020,3840313.11837533,4794578.508759036,3211874.6391769974
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,520,Other chronic respiratory diseases,1,Number,2020,3326193.9129128903,4468550.127672772,2537291.226227703
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,521,Cirrhosis and other chronic liver diseases,1,Number,2020,42626520.14848695,47548824.04965923,37637730.05492987
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,1,Number,2020,12671600.77985322,14974192.826654175,10734487.746816278
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,523,Chronic hepatitis C including cirrhosis,1,Number,2020,11133543.59034417,13319069.672331767,9226675.459405523
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,524,Cirrhosis due to alcohol,1,Number,2020,9707057.4024594,11344870.799960475,8243255.696009241
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,525,Cirrhosis due to other causes,1,Number,2020,6687754.61353617,8175984.779414579,5420460.138850433
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,526,Digestive diseases,1,Number,2020,87092087.39610282,96395183.93970934,77640855.8411628
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,527,Peptic ulcer disease,1,Number,2020,6153218.030961529,7664096.722853866,5073426.140947254
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,528,Gastritis and duodenitis,1,Number,2020,2897596.261109759,3810805.613615663,2193580.926807509
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,529,Appendicitis,1,Number,2020,1425290.1005544958,1819508.6004067943,1045282.7414179828
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,530,Paralytic ileus and intestinal obstruction,1,Number,2020,7030910.541182334,8515147.53741483,5711467.051528833
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,531,"Inguinal, femoral, and abdominal hernia",1,Number,2020,2253815.609679446,2725295.5727735967,1737885.0651504188
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,398,Genital herpes,1,Number,2020,207587.68785249096,448828.8756289053,90133.52102102563
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,399,Other sexually transmitted infections,1,Number,2020,450984.6772112112,639649.9432997172,316321.4484027196
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,400,Acute hepatitis,1,Number,2020,5627947.82295242,7436592.26956651,3932309.8732427424
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,401,Acute hepatitis A,1,Number,2020,2670853.605587296,3729521.548193439,1771095.786764863
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All ages,402,Acute hepatitis B,1,Number,2020,2332615.1915535354,3634378.6550005493,1421853.4853429494
